,mean,std,var,min,q25,median,q75,max
KLF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMT2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEF2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEIS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMBOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2IRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLTF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG20A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNF4G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKZF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKZF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKZF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ING4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
