,mean,std,var,min,q25,median,q75,max
FOXK1,0.015138933859985543,0.020660460505509914,0.00042685462829973494,0.0,0.0,0.0056162720097146,0.02367941712204,0.2823315118397085
NR5A2,0.00592187931040919,0.020412184882146828,0.0004166572916629435,0.0,0.0,0.0,0.0,0.4762791852955787
NEUROD2,0.01685844176113281,0.02024418007869135,0.0004098268270584837,0.0,0.0,0.0104035308953341,0.0280054644808743,0.2551492223623371
TEAD1,0.07573532055964269,0.019877497226047317,0.0003951148959715188,0.0119645690111052,0.0621033844526705,0.0763484928609201,0.0897728274281685,0.1460040983606557
CUX1,0.021818577555755534,0.019817120425228756,0.0003927182619480187,0.0,0.0055004314063848,0.0181190681622088,0.0325352315214265,0.1704774230658613
USF2,0.027109515639381153,0.019754274198872202,0.00039023134912422795,0.0,0.0117672627918529,0.0244659711872826,0.0390896671634376,0.1566070541480377
KLF3,0.02069997431864001,0.01966636190551782,0.0003867657905988025,0.0,0.0049180327868852,0.0160291438979963,0.0316484517304189,0.4995446265938069
CDC5L,0.0032795595470660253,0.01925493078944068,0.00037075235970615073,0.0,0.0,0.0,0.0,0.3076502732240437
SOX6,0.0483806115398218,0.019130487486014345,0.0003659755514525514,0.003158307634042,0.034869880430666,0.0454742195531028,0.0585673321430503,0.1497186603906292
DBX2,0.021089606983103797,0.01911761930905072,0.00036548336804578894,0.0,0.0053593947036569,0.0178646490121899,0.0306851618327028,0.1503783102143757
STAT2,0.029009486487018777,0.01883717343989821,0.00035483910320480654,0.0,0.0152637662883564,0.0264291719209752,0.0401691887347625,0.1783312316099201
PHF20,0.028401237103227082,0.018757435147038096,0.00035184137329534004,0.0,0.0151324085750315,0.0258249264396805,0.0387767969735182,0.1574453551912568
BACH1,0.017806057037623273,0.018742428388222317,0.00035127862188764176,0.0,5.059704513256426e-05,0.0128516494636713,0.028789718680429,0.2290528233151184
TCF7L1,0.009942678724816226,0.0186632313125284,0.00034831620302494055,0.0,0.0,0.0,0.0135094110503946,0.1999089253187614
OVOL2,0.004633355868541058,0.018604859679223196,0.00034614080368358506,0.0,0.0,0.0,0.0,0.2380464480874317
SP4,0.022362396943949887,0.018274050066534125,0.0003339409058341959,0.0,0.0082326718435432,0.0191616335921771,0.0327509347138337,0.1554141501294219
LHX2,0.06107252136315195,0.018211917796637195,0.0003316739498314705,0.0,0.0483848654630974,0.0606107767863318,0.073113370685481,0.1819015010029743
RORA,0.08171193699759077,0.018181491627347727,0.00033056663779531555,0.0243698219636876,0.0692832923756493,0.0835510830455926,0.0951216287678477,0.140162119845294
SMAD3,0.025430435303319378,0.017957044691894092,0.00032245545406668185,0.0,0.0129227588243981,0.0222456062619997,0.0337099394476443,0.208499483089647
NR2C2,0.010788229402890698,0.017878395188145206,0.0003196370145034936,0.0,0.0,0.0,0.0196461098100442,0.178831641946396
GABPA,0.01629466194921259,0.01785121823481773,0.0003186659924670891,0.0,0.0,0.0102679358364181,0.0274546095540278,0.1582496033844526
HDX,0.01892703281938434,0.0172024881867062,0.00029592559981376636,0.0,0.0049960967993754,0.0159250585480093,0.0280249804839968,0.2959797033567525
FOXC2,0.011968351830605456,0.01712237921627303,0.00029317587002585866,0.0,0.0,0.0001241927471435,0.0219821162444113,0.247702434177844
SMAD1,0.017093730006515376,0.017048829759741396,0.0002906625961766439,0.0,0.0,0.0156908665105386,0.0265417642466822,0.1222482435597189
NR1D2,0.0031810573763542634,0.017008365623969072,0.00028928450119861284,0.0,0.0,0.0,0.0,0.285063752276867
HMG20A,0.005770403720535851,0.01700751014843274,0.00028925540144904255,0.0,0.0,0.0,0.0,0.1991120218579235
DLX6,0.008266669842328916,0.016677158867294102,0.00027812762788496627,0.0,0.0,0.0,0.0110382513661202,0.3455737704918032
THRA,0.015109182122629931,0.016676544473638505,0.00027810713558124294,0.0,0.0012902246508803,0.0109289617486338,0.0222626998583282,0.1596336773932402
ATF3,0.02691420056236281,0.01660478037106683,0.00027571873117136623,0.0,0.0165338848884122,0.023926255043154,0.0330805372555027,0.2490296716204484
NR2F2,0.017018023211349594,0.016235602777040836,0.00026359479753385615,0.0,0.003551912568306,0.013353825136612,0.0254781420765027,0.1696379781420765
FOSL1,0.02915039129148664,0.01623517678793196,0.00026358096533540473,0.0,0.0189633717470107,0.0268895742033219,0.036290104420278,0.3323865173402586
SREBF2,0.02062024117504932,0.016213208512430178,0.0002628681302675384,0.0,0.0080752884031572,0.018154219793564,0.0298117789921068,0.1420765027322404
CHD2,0.0732062044040236,0.016075722462954165,0.0002584288527059291,0.019835564901439,0.0625965582353446,0.0742389780562469,0.0843185849569421,0.1363670500386233
IRF1,0.015349126298773006,0.01606069854221363,0.00025794603766386297,0.0,0.0031762295081967,0.0112704918032786,0.0226775956284153,0.2831284153005464
ZNF354C,0.01543359840042813,0.015939002927267482,0.0002540518143154414,0.0,0.0022289329882082,0.0120074777106701,0.0225409836065573,0.3019844693701466
NFYC,0.013706397863044749,0.01574521325160183,0.00024791174033841787,0.0,0.0,0.0090917655926135,0.0227058601846617,0.1390616167326173
NFE2L1,0.024360394682094225,0.01574020836287132,0.0002477541593066042,0.0013661202185792,0.0134697615722022,0.0202038765958489,0.0303563552157612,0.1442788355509814
SMARCC2,0.02645902595089139,0.015480873032762705,0.00023965742985651955,0.0,0.0171166827386692,0.0245633772634736,0.0354923390121075,0.1735508411014679
JUND,0.024298232730170122,0.015379318615536479,0.00023652344107818687,0.0,0.0133156541305046,0.0207168113146898,0.0316055930568948,0.1315252330440373
RFX2,0.007819786335045263,0.015245460920550728,0.00023242407868003944,0.0,0.0,0.0,0.0075819672131147,0.1347677595628415
